Timestamp,Available,,User._avg (%),Idle._avg (%)
1633530000,81.34,,8.49,89.83
1633530300,82.74,,7.825,90.565
1633530600,81.07,,8.64,89.71
1633530900,80.655,,8.85,89.505
1633531200,84.48,,7.005,91.485
1633531500,83.86,,7.295,91.155
1633531800,82.48,,7.965,90.445
1633532100,83.79,,7.32,91.11
1633532400,83.555,,7.445,91
1633532700,81.645,,8.34,89.985
1633533000,84.94,,6.805,91.745
1633533300,81.92,,8.26,90.18
1633533600,81.845,,8.295,90.14
1633533900,83.165,,7.645,90.81
1633534200,81.695,,8.365,90.06
1633534500,81.185,,8.59,89.775
1633534800,84.595,,6.96,91.555
1633535100,82.79,,7.795,90.585
1633535400,82.985,,7.745,90.73
1633535700,82.86,,7.77,90.63
1633536000,83.27,,7.53,90.8
1633536300,79.93,,9.125,89.055
1633536600,84.14,,7.19,91.33
1633536900,81.72,,8.315,90.035
1633537200,82.605,,7.915,90.52
1633537500,83.015,,7.705,90.72
1633537800,82.795,,7.835,90.63
1633538100,80.35,,8.965,89.315
1633538400,84.58,,6.98,91.56
1633538700,82.03,,8.165,90.195
1633539000,82.41,,8.005,90.415
1633539300,82.385,,7.985,90.37
1633539600,83.355,,7.535,90.89
1633539900,80.855,,8.72,89.575
1633540200,86.01,,6.29,92.3
1633540500,81.47,,8.465,89.935
1633540800,83.41,,7.555,90.965
1633541100,82.33,,8.025,90.355
1633541400,83.22,,7.645,90.865
1633541700,80.685,,8.82,89.505
1633542000,84.805,,6.91,91.715
1633542300,81.88,,8.275,90.155
1633542600,83.38,,7.585,90.965
1633542900,82.725,,7.82,90.545
1633543200,83.705,,7.41,91.115
1633543500,80.41,,8.945,89.355
1633586400,68.255,,14.825,83.08
1633586700,54.42,,21.205,75.625
1633587000,84.475,,7.115,91.59
1633587300,85.945,,6.39,92.335
1633587600,83.885,,7.395,91.28
1633587900,84.265,,7.17,91.435
1633588200,84.245,,7.075,91.32
1633588500,86.075,,6.33,92.405
1633588800,75.125,,10.86,85.985
1633589100,83.13,,7.625,90.755
1633589400,82.28,,7.8,90.08
1633589700,85.56,,6.59,92.15
1633590000,80.875,,8.7,89.575
1633590300,86.75,,5.995,92.745
